WT,ST,GFP,SpT
-31.960838,93.695641,247.65271,41.194706
111.561935,259.395752,2759.366943,97.865005
21.149445,768.610229,7169.736328,538.957397
-45.159988,951.756042,12258.60547,599.761536
116.825882,226.691788,937.845886,153.92131
-469.547302,1831.109741,83538.46875,4340.588867
515.103882,2027.396606,11782.75977,1138.146118
356.726837,447.478363,4457.182617,-544.222351
1012.725464,2173.309326,67000.46094,68.793816
1.934921,723.61969,5010.165039,398.293243
-347.000122,4962.264648,49910.46094,2868.518555
-149.280853,1542.128052,56117.35547,1657.715332
26.815434,459.011292,7774.036621,274.162262
-73.399529,1942.174805,11703.87109,900.545776
95.32695,247.437973,2874.962891,158.843597
602.084595,2018.880371,46865.48438,1998.193604
46.124638,405.202454,3874.19043,342.901215
124.481842,330.694977,1151.777222,98.63443
33.539978,1062.939087,13630.3252,655.480347
373.724701,1972.861694,81267.6875,-117.737152
-14.806396,3261.176514,22105.73047,3291.400146
62.923775,932.756165,6328.109863,767.516724
74.323524,799.60376,4675.273438,86.633583
66.264786,218.242859,1400.940918,109.240295
42.786392,177.774948,2746.625,56.008118
257.634674,1335.759277,13715.71387,449.345673
17.252865,367.517853,7641.477051,274.452454
314.701538,733.460999,17579.39648,-222.740997
35.989395,814.104126,12319.22852,579.004272
31.196976,1352.419189,9265.641602,839.086731
31.076576,377.34082,958.0755,177.726944
-1550.638672,2791.497803,263946.4375,1584.248535
31.32711,1175.76709,7528.874023,87.551567
195.619873,1869.327271,13265.71191,842.088135
-304.703125,3585.753174,50529.78906,612.314392
32.658493,1575.831909,7219.068359,650.032227
110.721161,2049.154297,96336.03906,3323.618408
-2.175911,536.924011,5053.296875,378.583679
23.467392,941.380432,8761.498047,442.439301
-55.021244,502.430359,5972.350586,304.296143
-111.652702,1136.901245,11916.74707,817.633057
35.830925,785.31665,7363.45459,599.289917
87.603905,585.312439,9319.860352,303.215515
-193.566879,5124.708496,59872.84375,3133.417725
707.053345,4266.864746,56071.11328,3367.627197
38.517296,1214.443359,8873.96582,632.429749
76.038185,1089.827271,7769.87207,766.556519
50.926407,117.132721,1438.538086,174.186081
75.965202,564.707947,8282.009766,111.10981
78.281937,447.06604,11809.91992,-399.301117
-128.987076,736.55957,26143.38281,289.400085
25.238083,273.626221,7049.838867,192.433701
16.76651,469.337311,4988.188965,171.888153
112.284439,1084.206909,8644.126953,766.208435
71.0037,48.056438,1708.363647,56.417011
135.620575,616.839233,6586.052246,238.696976
20.530823,1719.588379,12674.37305,230.903778
127.987503,528.850952,4524.654785,-56.858074
122.965347,373.424927,2024.75061,153.006424
91.253662,100.718002,567.942078,79.145905
47.378914,208.575333,494.929047,63.677059
-18.598839,449.114227,3481.515137,34.385834
-154.769043,2788.445312,19864.2168,1319.114624
109.1605,114.152138,2135.926514,159.792297
136.786926,668.331177,9763.802734,366.176117
2.38913,943.456665,11111.90234,533.666992
32.559616,400.455841,5593.30957,220.571869
78.039078,1545.59082,19593.9668,1730.346436
-14.429122,174.700012,4237.229004,220.230743
178.857635,2236.71167,19394.87305,-79.616989
10.074982,605.224976,5527.711426,194.092117
-266.048706,3158.637695,60737.94141,5642.939941
-15.337193,497.989655,2596.462158,264.385132
54.447594,884.359558,14488.82031,761.455627
