WT1,GFP
29.967062,94.140381
38.907482,94.335449
51.378666,36.963867
4.826657,55.996094
81.38649,62.641602
23.553526,90.77124
36.042412,76.763916
58.938198,41.227783
7.206293,14.81665
60.085621,49.614746
26.164036,59.307617
58.456074,63.447632
43.23967,15.627747
67.129646,48.232117
52.598103,46.372559
86.361076,32.344177
67.597496,47.935913
2.007747,16.843994
28.262644,81.697021
21.319368,124.525879
76.053871,27.30957
58.969051,72.977295
28.563154,42.647583
157.406555,10.537109
20.781977,66.500488
68.224228,51.287109
96.427895,78.639771
7.642075,69.392822
48.138943,55.80127
60.370544,33.7677
22.981077,12.155029
20.962044,53.364746
66.20771,13.870117
24.443588,178.374023
129.85199,19.532349
108.554024,33.343262
114.940376,158.171631
89.970779,159.195801
73.414742,34.008911
6.525039,91.568115
39.914558,105.014282
7.052414,73.739502
74.601822,105.315796
2.908157,20.474487
105.941612,153.608398
93.911736,43.331543
114.367699,41.869141
83.242035,72.429932
29.927549,42.343994
152.657516,76.949829
58.906593,2.154053
22.412811,24.404968
38.428741,178.425293
148.794464,50.547974
34.414577,41.702759
40.379223,11.585449
34.115601,123.710693
30.797285,81.409302
98.966599,55.695312
49.74263,85.301392
105.441475,44.232788
32.663292,11.790527
28.842293,54.715454
66.182808,17.393799
22.457361,54.788086
39.050488,92.478027
118.148087,49.573975
20.692915,21.993774
25.003891,162.322266
61.837814,94.066895
55.169453,88.164551
69.996185,29.614136
87.57225,3.506592
9.04946,96.239014
37.749439,8.403687
20.354916,19.495605
5.641179,59.750366
41.274811,76.962341
60.602539,163.098145
35.983204,40.418945
34.226089,33.231567
42.398621,93.207275
138.652039,62.733276
