ST1,GFP,SpT1
621.922485,14089.28027,965.945435
526.895569,32337.66602,608.40155
1173.552002,41610.0625,1827.079224
4814.521973,48110.35938,8074.736328
839.147827,82724.99219,2096.072998
1089.007568,69588.67188,891.330444
2909.320801,22942.48242,3143.206787
3107.170166,69220.67969,9076.512695
4025.031006,90670.3125,3712.642578
1187.493408,18071.79688,1454.999268
4924.817871,58256.72266,9546.198242
607.563843,33660.39453,389.503479
1121.14978,33726.57031,1225.608398
187.11499,5356.319824,261.085327
3115.397705,35685.12891,4199.46582
619.03595,16468.26563,422.918335
2872.55835,141110.7344,1627.422119
449.113861,13553.24219,158.766342
357.113464,4762.143066,366.078796
1564.696655,227107,4646.676758
2006.685791,83955.55469,2822.963379
726.252319,7743.831543,384.17926
2111.221924,35261.66406,2945.88916
2514.920898,54349.32031,3332.723633
973.458984,40289.09766,254.052185
2188.940674,47279.98047,486.771606
3203.588867,88626.33594,6402.162598
1636.735474,15197.84375,821.337524
2467.862793,118096.375,2102.303711
